slug,name,image_url,description
gasoline-water-pump,Gasoline Water Pump,https://bonhoeffermachines.com/en/public/product_banner/water-pump-banner.webp,"A gasoline water pump is a machine used to transmit massive amounts of water. These water pumps are ideal for irrigation, agriculture, and construction industry requirements. Bonhoeffer's gasoline water pump comes with a robust OHV technology engine and a high-quality aluminum pump. These water pumps are light weighted making it vastly portable and easy to operate. It comes with a resistant ceramic cylinder to wear, a double crankshaft forged arm and low vibration, delivering high-performance goals"
diesel-water-pump,Diesel Water Pump,https://bonhoeffermachines.com/en/public/product_banner/diesel-water-pump-banner.webp,"Diesel water pumps are ideal for industrial applications or agricultural applications. Bonhoeffer's diesel water pumps come with a professional 4-stroke air-cooled diesel engine, an aluminum casing pump for normal lift, and a cast-iron pump for high lift. High fuel efficiency, lightweight, compact structure, and convenient operation are key features of our diesel water pump."
gasoline-engine,Gasoline Engine,https://bonhoeffermachines.com/en/public/product_banner/gasoline-engine-banner.webp,"Designed for heavy duty work, it can be installed on water pumps/generators/cultivators/small construction machinery/stationary sprayers/pressure washers, etc. The Bonhoeffer gasoline engine comes with OHV technology, making it easy to start and offering high performance. It incorporates a steel grille protecting the muffler with better cooling performance and greater resistance. The engine also has a smart framed structure and a built-in oil sensor that automates engine start when the oil level is low."
diesel-engine,Diesel Engine,https://bonhoeffermachines.com/en/public/product_banner/diesel-engine-banner.webp,"Diesel engines are widely used in multiple applications and machines such as Water pumps, tillers, generators, etc. Bonhoeffer diesel Engines provided a higher compression ratio, uniform distribution in the fuel, low maintenance, and high performance. compared with ordinary engine Bonhoeffer Diesel Engine equipped with HCCI technology."
gasoline-tiller,Gasoline Tiller,https://bonhoeffermachines.com/en/public/product_banner/gasoline-tiller-banner.webp,"A very robust and powerful weeder for customers who value long-lasting durability and high efficiency. Reliable and easy-starting diesel-power Bonhoeffer engine with oil bath air filter for longest service life. An absolute requirement for engines used in dry and dusty environments. Power weeder has a fully sealed transmission for usage in wet cultures and operates with a direct clutch; two speeds forward and one reverse. The handlebar is adjustable, both horizontally and vertically, for comfortable use. Removable transport wheels are standard and allow the use of many accessories, such as ploughs and ditching blades. The AUX PTO makes the machine extremely versatile as it gives you the option to connect several useful accessories to be powered by this multi-purpose machine."
mini-cultivator,Mini Cultivator,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional mini cultivator designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
brush-cutter,Brush Cutter,https://bonhoeffermachines.com/en/public/product_banner/brush-cutter-banner.webp,"Brush cutter makes your daily task of cutting and trimming the uneven bushes, shrubs, and grass easy. Bonhoeffer's Brush cutter comes with 30% more powerful engine compared with traditional engines. Made with shear precision, it is compatible, lightweight, and has a 200 Hour tested Professional Gear Box. Our Brush cutter engine is fitted with 20 CRMO material Crankshaft for a longer service life. Ergonomic bicycle type handle helps to do outdoor work effectively."
backpack-brush-cutter,Backpack Brush Cutter,https://bonhoeffermachines.com/en/public/product_banner/backpack-brush-cutter-banner.webp,"Backpack Brush cutters make the machine much more convenient to carry around. Bonhoeffer's Brush cutter comes with 30% more powerful engine compared with traditional engines , 200 Hour tested Professional Gear Box , 20 CRMO material Crankshaft, high quality harness and durable steel frame for engine fitment."
chainsaw,Chainsaw,https://bonhoeffermachines.com/en/public/product_banner/chainsaw-banner.webp,"Chainsaws are used to cut the big logs and the hardwood. Bonhoeffer chain saws are equipped with a powerful engine which can deliver an output of 13000+ RPM while sustaining a longer running time to give maximum fuel efficiency. Designed for maximum stability, low vibration and professional quality guide bar and saw chain which helps in achieving greater speed, efficiency, and precision."
hedge-trimmer,Hedge Trimmer,https://bonhoeffermachines.com/en/public/product_banner/hedge-trimmer-banner.webp,"A hedge trimmer is a must-have tool to beautify your garden or to shape the fences of a plantation. Bonhoeffer's hedge trimmer gears up with a powerful 2-stroke engine , double blade action with 600 mm cutting length and has a maximum speed of 4200 rpm that is a perfect solution for overgrown hedges."
lawn-mower,Lawn Mower,https://bonhoeffermachines.com/en/public/product_banner/lawn-mower-banner.webp,"Powered to maneuver over grass and turf for desirable and affordable trimming and clearing, the Bonhoeffer 4-in-1 Stringing Mower comes with a 6.5 HP motor and a 22-inch cutting width. Steel covers make it stronger and more durable. Self-propelled driving makes it convenient to move. Equipped with a 65L bag to facilitate waste collection."
blower,Blower,https://bonhoeffermachines.com/en/public/product_banner/blower-banner.webp,"Blowers are mainly used in homes and industries to blow away dust from every nook and corner. The blower has the features of a vacuum, blower, and mulching and is the perfect solution for cleaning the off-season leaves from your garden and gathering the dust particles. The 2-stroke engine with a single cylinder Bonhoeffer blower runs like a compact machine and has a double-layer air filter for a cleaner engine. Accessibility of adjustable handle inside the 90-degree range, makes it comfortable and reduces fatigue. The Blower even works for heavy workloads because of an Air Volume of 1450 M3/H and an ideal air velocity of 78 M/S."
multi-tool,Multi Tool,https://bonhoeffermachines.com/en/public/product_banner/multi-tool-banner.webp,"Be it cutting and trimming long-height trees or far-reached shrubs, multitool eases your effort. The multi-tool has a long shaft connected with the engine and the detachable accessories are used for a different purpose. Bonhoeffer's Multi-Tool comes with a digital intelligent engine that is 30% more powerful than standard engines, Professional Gear Box, Nikasil Coated cylinder, and 20 CRMO material Crankshaft. Accessories include Trimmer Head /Bladed / Pruner / Hedge Trimmer which is ideal for multipurpose."
diesel-generator,Diesel Generator,https://bonhoeffermachines.com/en/public/product_banner/diesel-generator-banner.webp,"Diesel generators are used to generate electric energy by using diesel engines and alternators. Bonhoeffer's single-phase diesel generators are equipped with professional quality 4 stroke air cooled diesel engines, compact structure, Low noise, digital control system, and advanced technology which helps in fuel efficiency."
electric,Electric Lawn Mower,https://bonhoeffermachines.com/en/public/product_banner/electric-lawn-mower-banner.webp,"Electric lawn mowers are eco-friendly and efficient, ideal for residential and commercial use. Bonhoeffer's electric lawn mowers feature high-performance motors, ergonomic designs, and durable construction for reliable operation."
